SEQUENCE,CLASSIFICATION
SRR20766474.3.1,Non-viral
SRR20766474.7.1,Non-viral
SRR20766474.8.1,Non-viral
SRR20766474.9.1,Non-viral
SRR20766474.10.1,Non-viral
SRR20766474.15.1,Non-viral
SRR20766474.17.1,Non-viral
SRR20766474.18.1,Non-viral
SRR20766474.20.1,Non-viral
SRR20766474.22.1,Non-viral
SRR20766474.23.1,Non-viral
SRR20766474.24.1,Non-viral
SRR20766474.25.1,Non-viral
SRR20766474.30.1,Non-viral
SRR20766474.35.1,Non-viral
SRR20766474.36.1,Non-viral
SRR20766474.42.1,Non-viral
SRR20766474.43.1,Non-viral
SRR20766474.45.1,Non-viral
SRR20766474.51.1,Non-viral
SRR20766474.52.1,Non-viral
SRR20766474.54.1,Non-viral
SRR20766474.55.1,Non-viral
SRR20766474.58.1,Non-viral
SRR20766474.59.1,Non-viral
SRR20766474.64.1,Non-viral
SRR20766474.66.1,Non-viral
SRR20766474.67.1,Non-viral
SRR20766474.73.1,Non-viral
SRR20766474.74.1,Non-viral
SRR20766474.75.1,Non-viral
SRR20766474.79.1,Non-viral
SRR20766474.80.1,Non-viral
SRR20766474.81.1,Non-viral
SRR20766474.82.1,Non-viral
SRR20766474.83.1,Non-viral
SRR20766474.86.1,Non-viral
SRR20766474.91.1,Non-viral
SRR20766474.92.1,Non-viral
SRR20766474.93.1,Non-viral
SRR20766474.94.1,Non-viral
SRR20766474.97.1,Non-viral
SRR20766474.99.1,Non-viral
SRR20766474.101.1,Non-viral
SRR20766474.102.1,Non-viral
SRR20766474.103.1,Non-viral
SRR20766474.105.1,Non-viral
SRR20766474.106.1,Non-viral
SRR20766474.113.1,Non-viral
SRR20766474.119.1,Non-viral
SRR20766474.121.1,Non-viral
SRR20766474.123.1,Non-viral
SRR20766474.124.1,Non-viral
SRR20766474.126.1,Non-viral
SRR20766474.131.1,Non-viral
SRR20766474.132.1,Non-viral
SRR20766474.134.1,Non-viral
SRR20766474.136.1,Non-viral
SRR20766474.137.1,Non-viral
SRR20766474.141.1,Non-viral
SRR20766474.142.1,Non-viral
SRR20766474.143.1,Non-viral
SRR20766474.146.1,Non-viral
SRR20766474.149.1,Non-viral
SRR20766474.150.1,Non-viral
SRR20766474.152.1,Non-viral
SRR20766474.153.1,Non-viral
SRR20766474.157.1,Non-viral
SRR20766474.159.1,Non-viral
SRR20766474.162.1,Non-viral
SRR20766474.164.1,Non-viral
SRR20766474.168.1,Non-viral
SRR20766474.171.1,Non-viral
SRR20766474.178.1,Non-viral
SRR20766474.181.1,Non-viral
SRR20766474.186.1,Non-viral
SRR20766474.188.1,Non-viral
SRR20766474.190.1,Non-viral
SRR20766474.194.1,Non-viral
SRR20766474.197.1,Non-viral
SRR20766474.198.1,Non-viral
SRR20766474.204.1,Non-viral
SRR20766474.209.1,Non-viral
SRR20766474.210.1,Non-viral
SRR20766474.212.1,Non-viral
SRR20766474.216.1,Non-viral
SRR20766474.219.1,Non-viral
SRR20766474.220.1,Non-viral
SRR20766474.223.1,Non-viral
SRR20766474.224.1,Non-viral
SRR20766474.229.1,Non-viral
SRR20766474.230.1,Non-viral
SRR20766474.232.1,Non-viral
SRR20766474.237.1,Non-viral
SRR20766474.240.1,Non-viral
SRR20766474.243.1,Non-viral
SRR20766474.246.1,Non-viral
SRR20766474.248.1,Non-viral
SRR20766474.254.1,Non-viral
SRR20766474.265.1,Non-viral
SRR20766474.267.1,Non-viral
SRR20766474.271.1,Non-viral
SRR20766474.274.1,Non-viral
SRR20766474.277.1,Non-viral
SRR20766474.282.1,Non-viral
SRR20766474.283.1,Non-viral
SRR20766474.284.1,Non-viral
SRR20766474.286.1,Non-viral
SRR20766474.290.1,Non-viral
SRR20766474.291.1,Non-viral
SRR20766474.293.1,Non-viral
SRR20766474.302.1,Non-viral
SRR20766474.305.1,Non-viral
SRR20766474.309.1,Non-viral
SRR20766474.310.1,Non-viral
SRR20766474.319.1,Non-viral
SRR20766474.322.1,Non-viral
SRR20766474.324.1,Non-viral
SRR20766474.325.1,Non-viral
SRR20766474.327.1,Non-viral
SRR20766474.328.1,Non-viral
SRR20766474.332.1,Non-viral
SRR20766474.336.1,Non-viral
SRR20766474.339.1,Non-viral
SRR20766474.342.1,Non-viral
SRR20766474.343.1,Non-viral
SRR20766474.347.1,Non-viral
SRR20766474.348.1,Non-viral
SRR20766474.349.1,Non-viral
SRR20766474.350.1,Non-viral
SRR20766474.355.1,Non-viral
SRR20766474.357.1,Non-viral
